"","portRet","turnover","CompoundAnnualReturn","Min_monthly","Max_monthly","portStdDev_monthly","portVaR","portCVaR","growth_multiplier","wealth_index","peak_wealth_index","drawdown","drawdown_pct","monthly_Rf","portSR","monthly_Rm","Rp_minus_Rm","portIR","portBeta","portTR"
"2000-10-31",-0.093257926,0.179,0.414348715998776,-0.111182298,0.181546178,0.0939874992391224,0.1013238934,0.111182298,0.906742074,6080.81406474144,6731.5750690485,-650.761004307054,-0.0966729179474245,0.005217,0.306492486410816,-0.00412,-0.089137926,0.350586308480263,1.16283980404811,0.0247725114268118
"2000-11-30",-0.112363512,0.202,0.125584211549316,-0.112363512,0.181546178,0.0987782459133788,0.1117138443,0.112363512,0.887636488,5397.5524406081,6731.5750690485,-1334.0226284404,-0.198173921371564,0.004966,0.0985394598779938,-0.078268,-0.034095512,0.213058360256803,1.23087150209305,0.0079078563306149
"2000-12-29",0.112823746,0.203,0.149360063861379,-0.112363512,0.181546178,0.10058462556026,0.1117138443,0.112363512,1.112823746,6006.52452618895,6731.5750690485,-725.050542859549,-0.107708899540213,0.004909,0.114893069084498,0.00572,0.107103746,0.285137524457194,1.22620512571815,0.00942458654832734
"2001-01-31",0.164892736,0.293,0.506361975496092,-0.112363512,0.181546178,0.100365067336129,0.1018554397,0.112363512,1.164892736,6996.95678916335,6996.95678916335,0,0,0.005243,0.343622836929558,0.032372,0.132520736,0.483429581509111,1.25042861087138,0.0275807262140566
"2001-02-28",-0.380634164,0.126,-0.210365907280055,-0.380634164,0.164892736,0.147865918888465,0.2330853054,0.380634164,0.619365836,4333.67599117603,6996.95678916335,-2663.28079798732,-0.380634164,0.003653,-0.0832317058533947,-0.090952,-0.289682164,-0.0186831015332002,1.52039783650834,-0.00809467914985365
"2001-03-30",-0.231718636,0.182,-0.453171095726159,-0.380634164,0.164892736,0.155895812685701,0.2987306236,0.380634164,0.768281364,3329.48250163478,6996.95678916335,-3667.47428752857,-0.52415277070292,0.00432,-0.261266371634042,-0.063706,-0.168012636,-0.141848288097615,1.65987191913866,-0.0245382386819756
"2001-04-30",0.370462636,0.177,-0.198926729756155,-0.380634164,0.370462636,0.194470561418293,0.2987306236,0.380634164,1.370462636,4562.93136570627,6996.95678916335,-2434.02542345708,-0.347869151804227,0.003864,-0.0227438142877562,0.077824,0.292638636,0.0682475749781728,1.81486070888058,-0.00243710292018029
"2001-05-31",-0.011886606,0.215,-0.175800375464881,-0.380634164,0.370462636,0.194118846616667,0.2987306236,0.380634164,0.988113394,4508.69359835708,6996.95678916335,-2488.26319080627,-0.355620774257176,0.003183,-0.0101962407797969,0.006859,-0.018745606,0.0674322882610681,1.80862255461759,-0.00109435907174037
"2001-06-29",0.087326378,0.202,-0.157333197305365,-0.380634164,0.370462636,0.194919575076454,0.2987306236,0.380634164,1.087326378,4902.42147981339,6996.95678916335,-2094.53530934996,-0.299349470414611,0.002778,0.000446142124510676,-0.024505,0.111831378,0.10714282508116,1.81119373516647,0.0000480135457874334
"2001-07-31",-0.210113404,0.168,-0.363939634485975,-0.380634164,0.370462636,0.203770026098987,0.2987306236,0.380634164,0.789886596,3872.35701484708,6996.95678916335,-3124.59977431627,-0.4465655382002,0.002999,-0.103775504857917,-0.009317,-0.200796404,-0.033162760660807,1.84903280425979,-0.0114364316763967
